Part Number,Brand,Model,Benchmark
BX80677I37300T,Intel,Core i3-7300T,66.8
BX80677I57500,Intel,Core i5-7500,66.8
BX80677G4620,Intel,Pentium G4620,66.7
BX80662I36300,Intel,Core i3-6300,66.7
,Intel,Core i5-4670,66.5
,Intel,Xeon E5-2670 v2,66.4
YD150XBBAEBOX,AMD,Ryzen 5 1500X,66.4
BX80677I57500T,Intel,Core i5-7500T,66.3
,Intel,Core i7-3820QM,66.3
,Intel,Core i7-4722HQ,66.3
,Intel,Core i5-3450,66.3
,Intel,Core i7-1165G7,66.2
,Intel,Core i5-4570S,66.2
,Intel,Core i5-4460S,66.1
,AMD,Ryzen 5 5600U,66.1
,Intel,Core i5-3340,66.1
,Intel,Core i7 870,66.1
,Intel,Core i7-3840QM,66.1
,Intel,Core i5-1130G7,66.0
,Intel,Core i7-4850HQ,66.0
,Intel,Xeon X3450,66.0
BX80646I34350,Intel,Core i3-4350,65.9
BX80623I52500K,Intel,Core i5-2500K,65.9
BX80601950,Intel,Core i7-950,65.9
BX80646I34370,Intel,Core i3-4370,65.8
,Intel,Xeon W3550,65.8
,Intel,Core i7 940,65.5
YD130XBBAEBOX,AMD,Ryzen 3 1300X,65.4
,Intel,Core i5-3470S,65.3
BX80677I57400T,Intel,Core i5-7400T,65.3
,Intel,Core i5-3350P,65.3
BX80662I36300T,Intel,Core i3-6300T,65.2
,Intel,Xeon X3440,65.2
,Intel,Core i5-4570R,65.2
,AMD,Ryzen 5 2600H,65.2
,Intel,Core i5-4430,65.2
,Intel,Core i5-3570,65.1
,Intel,Core i7-1160G7,65.1
FH8068403419422,Intel,Core i3-8109U,65.0
,Intel,Core i5-9300H,65.0
,Intel,Core i7-3720QM,64.8
,Intel,Core i5-2310,64.8
CL8068403373522,Intel,Core i5-8300H,64.7
BX80646I34360,Intel,Core i3-4360,64.7
,Intel,Core i7-2960XM,64.6
,Intel,Xeon W3530,64.6
BX80646I34340,Intel,Core i3-4340,64.5
,Intel,Core i7-3740QM,64.4
,Intel,Core i5-2500S,64.3
,Intel,Core i7 860,64.2
,AMD,Ryzen 7 2800H,64.1
,Intel,Core i5-3330S,64.1
,Intel,Core i5-2300,64.0
,AMD,Ryzen 5 5500U,64.0
,Intel,Core i7-4770HQ,64.0
,Intel,Core i7 930,64.0
,Intel,Core i5-2320,63.9
,Intel,Core i5-2405S,63.9
,Intel,Core i7-7567U,63.9
,Intel,Core i5 760,63.6
BX80662I56500,Intel,Core i5-6500,63.6
BX80677I57400,Intel,Core i5-7400,63.5
CM8068403360212,Intel,Pentium G5400T,63.5
BX80646I54590,Intel,Core i5-4590,63.5
,Intel,Core i7-4750HQ,63.4
,Intel,Core i7-4800MQ,63.3
,Intel,Xeon E5540,63.1
BX80637I53470,Intel,Core i5-3470,63.1
,Intel,Xeon W3520,63.1
FD9590FHHKWOF,AMD,FX-9590,63.1
,Intel,Core i7-7820HQ,63.0
BX80677G4600,Intel,Pentium G4600,62.9
,Intel,Core i5-2500,62.9
,Intel,Core i5-10310U,62.8
YD3200C5FHBOX,AMD,Ryzen 3 3200G,62.7
CM8068403377713,Intel,Pentium G5500T,62.6
YD2400C5FBBOX,AMD,Ryzen 5 2400G,62.5
FD9370FHHKWOF,AMD,FX-9370,62.5
BX80646I54570,Intel,Core i5-4570,62.4
,Intel,Core i7-3615QM,62.4
,Intel,Core i7-2920XM,62.2
BX80646I54460,Intel,Core i5-4460,62.1
FD8370FRHKBOX,AMD,FX-8370,62.1
,Intel,Core i7-3635QM,62.1
BX80684G5400,Intel,Pentium Gold G5400,62.1
,Intel,Core i7-7700HQ,62.0
AW8063801013511,Intel,Core i7-3610QM,62.0
,Intel,Core i3-6098P,62.0
,Intel,Core i7-4700HQ,61.9
BX80646I34330,Intel,Core i3-4330,61.9
,Intel,Core i7-4702HQ,61.8
,Intel,Core i7-2860QM,61.7
,Intel,Core i7-4810MQ,61.7
BX80601920,Intel,Core i7-920,61.6
,Intel,Core i5-7260U,61.5
BX80605I5750,Intel,Core i5-750,61.5
BX80646I54440,Intel,Core i5-4440,61.3
,Intel,Xeon X3430,61.3
,Intel,Core i5-3330,61.3
,Intel,Xeon E5530,61.1
YD1400BBAEBOX,AMD,Ryzen 5 1400,61.0
,AMD,Ryzen 3 5400U,61.0
,Intel,Core i7-4702MQ,61.0
BX80662I56400,Intel,Core i5-6400,60.8
AW8063801106200,Intel,Core i7-3630QM,60.8
FD8350FRHKBOX,AMD,FX-8350,60.8
,Intel,Core i7-4712HQ,60.7
,Intel,Core i7-3632QM,60.7
,Intel,Core i7-5557U,60.6
BX80623I52400,Intel,Core i5-2400,60.6
BX80677I37100T,Intel,Core i3-7100T,60.5
YD2200C5FBBOX,AMD,Ryzen 3 2200G,60.5
,Intel,Core i7-3612QM,60.5
,Intel,Core i7 X 940,60.4
,Intel,Core i5-2400S,60.4
,Intel,Core i3-2125,60.3
CM8067703016117,Intel,Pentium G4560T,60.2
BX80662G4520,Intel,Pentium G4520,60.1
,Intel,Core i7-6820HQ,60.1
,Intel,Core i7-2760QM,59.9
FD837EWMHKBOX,AMD,FX-8370E,59.9
,Intel,Xeon E5-1603 0,59.9
,Intel,Xeon E5-2620 v2,59.9
,Intel,Core i7-4710MQ,59.7
,Intel,Core i7-5550U,59.7
,AMD,FX-8310,59.6
,Intel,Core i7-8665U,59.6
,Intel,Xeon L5520,59.5
,Intel,Xeon E5620,59.4
,Intel,Xeon E5-2630 0,59.3
,AMD,FX-6350 Six-Core,59.2
,Intel,Core i3-7167U,59.2
,Intel,Xeon E5520,59.1
,Intel,Pentium G3470,59.1
YD240GC6FBBOX,AMD,Athlon 240GE,59.1
,Intel,Core i3-3250,58.7
,Intel,Core i7-6700HQ,58.7
HDE00ZFBGRBOX,AMD,Phenom II X6 1100T,58.6
CW8064701470702,Intel,Core i7-4700MQ,58.6
,Intel,Core X 920,58.6
FD8150FRGUBOX,AMD,FX-8150,58.6
BX80637I33225,Intel,Core i3-3225,58.5
,Intel,Core i7-2820QM,58.5
FD8320FRHKBOX,AMD,FX-8320,58.5
,Intel,Core i3-2105,58.5
,AMD,FX-6200 Six-Core,58.5
,Intel,Core i7-4610M,58.3
,AMD,Phenom II X4 B65,58.1
,Intel,Core i7-2675QM,58.0
,AMD,Phenom II X4 980,58.0
,Intel,Core i5-5287U,58.0
,Intel,Core i7-4710HQ,57.9
,Intel,Core i7-4720HQ,57.8
FD832EWMHKBOX,AMD,FX-8320E,57.8
,Intel,Core i7-4558U,57.7
,Intel,Core i5-1035G7,57.7
YD220GC6FBBOX,AMD,Athlon 220GE,57.7
,Intel,Core i5-4570T,57.7
,Intel,Core i7-2720QM,57.7
,Intel,Core i5-10210Y,57.7
BX80662I36100T,Intel,Core i3-6100T,57.6
,AMD,FX-8300,57.6
,Intel,Pentium G3460,57.6
,Intel,Xeon E5-2620 0,57.5
,AMD,Athlon II X4 555,57.5
,Intel,Core i3-2130,57.5
,Intel,Core i7-2635QM,57.4
,Intel,Core i7-6567U,57.4
,Intel,Core i5-8365U,57.3
BX80677G4560,Intel,Pentium G4560,57.3
FD4350FRHKBOX,AMD,FX-4350,57.3
,Intel,Core i3-3210,57.2
BX80646G3440,Intel,Pentium G3440,57.1
,AMD,Phenom II X4 975,57.0
,AMD,Phenom II X6 1090T,57.0
BX80677I37100,Intel,Core i3-7100,57.0
YD1200BBAEBOX,AMD,Ryzen 3 1200,57.0
,Intel,Core i5-4200H,57.0
BX80646I34170,Intel,Core i3-4170,56.9
,Intel,Core2 Extreme X9770,56.8
BX80715G6900,Intel,Celeron G6900,56.6
,Intel,Core i7 X 920,56.6
,Intel,Core i7-10510Y,56.5
BX80646G3430,Intel,Pentium G3430,56.5
,Intel,Core i5-7300HQ,56.5
,Intel,Core i3-6167U,56.5
