Brand,Model,Benchmark
Nvidia,GTX 550-Ti,8.61
AMD,HD 5750,8.36
Nvidia,GTX 650,8.18
AMD,R7 250,7.91
Nvidia,930MX,7.91
AMD,R7 250E,7.89
AMD,HD 7750,7.8
Nvidia,GTX 260,7.31
Nvidia,GTX 660M,7.26
AMD,Radeon  530,6.64
AMD,HD 7730,6.43
Nvidia,MX110,6.16
AMD,Radeon  HD 6770M,6.12
AMD,Radeon R7 Graphics,5.92
Nvidia,920MX,5.76
AMD,R7 240,5.44
AMD,Radeon 520,4.96
Nvidia,NVS 5400M,3.69
Nvidia,NVS 5200M,3.2
Nvidia,NVS 510,3.11
Nvidia,NVS 5100M,2.34
AMD,Radeon  HD 6490M,2.27
AMD,Radeon R5,2.05
AMD,HD 7470,2.04
AMD,Radeon R3 Graphics,1.77
Nvidia,NVS 4200M,1.75
AMD,HD 8240,1.3
Nvidia,NVS 310,1.27
Nvidia,NVS 3100M,1.04
AMD,HD 8210,0.96
Nvidia,NVS 300,0.94
Nvidia,ION,0.73
AMD,Radeon X1650,0.59
AMD,Radeon X1300,0.16
AMD,Radeon X1550,0.15
AMD,Radeon X1600,0.08
