price,part number
78.5,F4-2666C19D-16GIS
109.95,F4-2666C19S-8GNT
203.95,CMW32GX4M4C3200C16
407.95,F4-4800C20D-32GTZR
180.95,KF426C16BBK2/64
286.95,CMG16GX4M1D3600C18
49.95,KF556C36BBEK2-32
42.75,CMK32GX5M2B5600Z36
30.25,KF552C36BBEAK2-16
95.5,CMH32GX5M2E6000C36
101.95,KF572C38RWAK2-32
44.95,CMK32GX5M2D6000C36W
22.25,CMK16GX4M1A2666C16
155.95,F4-2400C15S-4GIS
254.95,F4-3200C16D-16GTZKW
136.95,F4-3000C16S-16GISB
60.95,F4-4000C15D-16GTZR
173.95,F4-3600C18Q-128GVK
169.95,F4-2666C19D-64GNT
101.95,CMH16GX4M2E3200C16
171.95,CMT32GX4M2E3200C16
238.95,CMK32GX4M2E3200C16W
131.95,CMN32GX4M2Z3200C16
49.95,CMK32GX5M2B5600C36W
14.95,F5-6000J3238F16GX2-FX5
68.95,CMK64GX5M4B6400C32
43.25,F3-1333C9S-4GIS
184.95,F3-1600C11D-8GIS
379.95,KVR16LN11/4
143.95,CMK8GX4M2A2400C16
73.95,F4-2666C19D-16GNT
167.95,F4-3000C16D-16GVRB
97.5,F4-3600C16D-32GVKC
114.95,CMH32GX4M2E3200C16W
168.95,KF432C16BB/8
144.95,CMH32GX4M2K4000C18
424.95,CMK64GX5M4B6400C32
13.75,F5-5600J3636C16GX2-RS5W
26.5,F5-6400J3239G16GX2-RS5K
44.95,KF552C36BBEK2-64
44.95,CMT32GX5M2E6000C36
51.95,KF552C36BWEAK2-32
124.95,CP32G4DFRA32AT
111.95,CMH64GX5M2B6000C30
28.75,F3-10666CL9D-8GBXL
219.95,F4-2133C15D-8GRR
209.95,CMK8GX4M1A2400C16
166.95,F4-3000C16D-32GSXWB
255.95,CMK32GX4M4K4000C19
350.95,CMK32GX4M4D3600C18
286.95,F4-4000C18D-16GVK
210.95,F4-4266C16D-16GTZR
136.95,2XTXU8G1M2666C1
75.95,2XTXU16G2M266
283.95,KF436C16RBK4/32
30.95,KF560C40BBK2-32
30.25,F5-5600J3636C16GX2-TZ5RK
28.25,KF548C38BB-8
94.5,F5-5600J3036D32GX2-RS5W
208.95,F5-6000J3238F16GX2-RS5K
122.95,KVR32N22D8/16
69.5,CMH64GX5M2B6600C32
179.95,CMK96GX5M2B6400C32
42.25,F4-2400C15S-8GNT
109.95,F4-2400C17D-16GIS
126.95,F4-3200C16Q-32GTZRX
192.95,F4-3600C16D-32GTRSC
170.95,CMK128GX4M4E3200C16
46.25,CMH32GX4M4E3200C16W
339.95,CMH16GX4M2E3200C16W
189.95,KF436C17BB/8
55.5,CMN32GX4M2Z3600C16
336.95,CMK64GX5M2B5200C40W
370.95,F5-5600J2834F32GX2-RS5K
22.25,F5-5600J2834F16GX2-TZ5RK
41.25,CMK32GX5M2B5200Z40
157.95,F5-6800J3445G16GX2-TZ5RS
159.95,KF556C36BBEK2-64
403.95,KF552C40BWAK2-32
147.95,CMH32GX4M4E3200C16W
73.95,F3-12800CL9S-4GBRL
35.5,F4-2400C15D-8GNT
130.95,F4-2400C15S-4GNT
314.95,3200C16S-16GVK
356.95,CMK16GX4M2B3200C16W
284.95,CT8G4DFS824A
163.95,CMV16GX4M1A2666C18
341.95,F4-3000C16D-32GTZR
307.95,F4-4000C18D-16GTRS
136.95,CMK64GX4M4E3200C16
153.95,F4-4000C18D-64GVK
16.25,KF432C16BBAK2/16
28.25,CMK16GX5M1B5200C40
14.25,F5-5600J2834F16GX2-RS5K
48.5,F5-5600J2834F16GX2-TZ5NR
59.95,CMK64GX5M2B6000C40
49.25,CMV4GX3M1A1333C9
47.5,CML8GX3M2A1600C9
111.95,F3-10600CL9S-2GBNS
115.95,F3-14900CL10D-16GBXL
192.95,F4-2666C15D-8GVR
233.95,F4-3200C16D-16GTZB
70.95,F4-2133C15D-16GNT
81.95,CT4G4DFS824A
186.95,CMK16GX4M2Z3200C16
