designation,price,description
Western Digital WD Red 2 To SATA 6Gb/s,76.50,"Disque Dur 3.5"" 2 To 256 Mo Serial ATA 6Gb/s - WD20EFAX (bulk)"
Western Digital WD Blue 2 To SATA 6Gb/s 256 Mo,57.95,"Disque dur 3.5"" 2 To 5400 RPM 256 Mo Serial ATA 6Gb/s - WD20EZAZ (bulk)"
Seagate IronWolf Pro 10 To (ST10000NT001),289.95,"Western Digital WD Purple 2 To - Disque Dur 3.5"" 2 To 256 Mo Serial ATA 6Gb/s - WD23PURZ"
Toshiba X300 6 To (HDWR460EZSTA),154.95,"Western Digital WD Red Plus 3 To SATA 6Gb/s - Disque Dur 3.5"" 3 To 128 Mo Serial ATA 6Gb/s 5400 RPM - WD30EFZX"
Toshiba P300 3 To (Bulk),77.50,"Western Digital Ultrastar DC HC570 22 To (0F48155) - Disque dur serveur 3.5"" 20 To 7200 RPM 512 Mo SATA 6Gb/s 4Kn/512e (bulk)"
Seagate IronWolf Pro 6 To (ST6000NE000),190.95,"Western Digital WD Gold 6 To (WD6003FRYZ) - Disque dur 3.5"" 6 To 7200 RPM 256 Mo Serial ATA 6 Gb/s 512e pour Centres de données (bulk)"
Seagate Firecuda 8 To,220.95,"Toshiba S300 4 To HDWT840UZSVA - Disque dur 3.5"" 4 To 5400 RPM 256 Mo Serial ATA 6 Gb/s pour systèmes de surveillance"
Seagate IronWolf Pro 2 To (ST2000NT001),117.95,"Western Digital WD Red Pro 8 To SATA 6Gb/s - Disque Dur 3.5"" 8 To 256 Mo Serial ATA 6Gb/s 7200 RPM - WD8003FFBX (bulk)"
Western Digital WD Red Pro 22 To,592.95,"Seagate IronWolf Pro 4 To (ST4000NE001) - Disque dur 3.5"" 4 To 7200 RPM 256 Mo Serial ATA 6 Gb/s pour NAS 512e (bulk)"
Western Digital WD Red 6 To SATA 6Gb/s,158.95,"Toshiba N300 16 To - Disque dur 3.5"" 16 To 7200 RPM 512 Mo Serial ATA 6 Gb/s pour NAS"
Western Digital WD Gold 12 To (WD121KRYZ),314.95,"Western Digital WD Purple Pro 18 To - Disque Dur 3.5"" 18 To 512 Mo 7200 RPM Serial ATA 6Gb/s - WD181PURP"
Toshiba P300 4 To (HDWD240EZSTA),81.50,"Western Digital WD Purple 2 To - Disque Dur 3.5"" 2 To 256 Mo Serial ATA 6Gb/s - WD22PURZ"
Toshiba X300 8 To (HDWR480UZSVA) (Bulk),185.95,"Toshiba P300 3 To - Disque dur 3.5"" 3 To 7200 RPM 64 Mo Serial ATA III 6 Gb/s (version boîte)"
Western Digital WD Purple 2 To,67.95,"Western Digital WD Red Pro 2 To SATA 6Gb/s - Disque Dur 3.5"" 2 To 64 Mo Serial ATA 6Gb/s 7200 RPM - WD2002FFSX (bulk)"
Western Digital WD Red Plus 3 To SATA 6Gb/s,100.95,"Western Digital Ultrastar DC HC310 4 To (0B36040) - Disque dur serveur 3.5"" 4 To 7200 RPM 256 Mo SATA 6Gb/s 512e (bulk)"
Western Digital Ultrastar DC HC570 22 To (0F48155),505.95,"Western Digital Ultrastar DC HC330 10 To (0B42266) - Disque dur serveur 3.5"" 10 To 7200 RPM 256 Mo SATA 6Gb/s 512e (bulk)"
Western Digital WD Gold 6 To (WD6003FRYZ),210.95,"Western Digital WD Purple 8 To - Disque Dur 3.5"" 8 To 128 Mo 5640 RPM Serial ATA 6Gb/s - WD84PURZ"
Toshiba S300 4 To HDWT840UZSVA,85.95,"Western Digital WD Blue 4 To - Disque dur 3.5"" 4 To 5400 RPM 256 Mo Serial ATA 6Gb/s - WD40EZAX (bulk)"
Western Digital WD Red Pro 8 To SATA 6Gb/s,229.95,"Western Digital Ultrastar DC HC320 8 To (0B36404) - Disque dur serveur 3.5"" 8 To 7200 RPM 256 Mo SATA 6Gb/s 512e (bulk)"
Seagate IronWolf Pro 4 To (ST4000NE001),127.95,"Western Digital Ultrastar DC HC320 8 To (0B36400) - Disque dur serveur 3.5"" 8 To 7200 RPM 256 Mo SAS 12Gb/s 512e (bulk)"
Toshiba N300 16 To,356.95,"Seagate SkyHawk 6 To (ST6000VX001) - Disque dur 3.5"" 6 To 256 Mo Serial ATA 6 Gb/s pour Vidéosurveillance (bulk)"
Western Digital WD Purple Pro 18 To,388.95,"Western Digital WD Red Pro 10 To SATA 6Gb/s - Disque Dur 3.5"" 10 To 256 Mo Serial ATA 6Gb/s 7200 RPM - WD102KFBX (bulk)"
Western Digital WD Purple 2 To,68.95,"Western Digital WD Blue 8 To - Disque dur 3.5"" 8 To 5640 RPM 128 Mo Serial ATA 6Gb/s - WD80EAZZ (bulk)"
Toshiba P300 3 To,68.50,"Western Digital WD Blue Mobile 1 To - Disque dur 2.5"" 1 To 7 mm 5400 RPM 128 Mo Serial ATA III 6 Gb/s (bulk)"
Western Digital WD Red Pro 2 To SATA 6Gb/s,102.95,"Seagate SkyHawk AI 18 To (ST18000VE002) - Disque dur 3.5"" 18 To 256 Mo Serial ATA 6 Gb/s pour Vidéosurveillance (bulk)"
Western Digital Ultrastar DC HC310 4 To (0B36040),168.95,"Western Digital WD Red Pro 16 To - Disque Dur 3.5"" 16 To 512 Mo Serial ATA 6Gb/s 7200 RPM - WD161KFGX (bulk)"
Western Digital Ultrastar DC HC330 10 To (0B42266),255.95,"Western Digital Ultrastar DC HC560 20 To (0F38755) - Disque dur serveur 3.5"" 20 To 7200 RPM 512 Mo SATA 6Gb/s 512e (bulk)"
Western Digital WD Purple 8 To,194.95,"Western Digital WD Blue 1 To SATA 6Gb/s 64 Mo - Disque dur 3.5"" 1 To 5400 RPM 64 Mo Serial ATA 6Gb/s - WD10EZRZ (bulk)"
Western Digital WD Blue 4 To,88.95,"Toshiba X300 14 To - Disque dur 3.5"" 14 To 7200 RPM 256 Mo Serial ATA III"
Western Digital Ultrastar DC HC320 8 To (0B36404),237.95,"Western Digital WD Gold 20 To (WD201KRYZ) - Disque dur 3.5"" 20 To 7200 RPM 512 Mo Serial ATA 6 Gb/s 512e pour Centres de données (bulk)"
Western Digital Ultrastar DC HC320 8 To (0B36400),255.95,"Seagate IronWolf Pro 18 To (ST18000NT001) - Disque dur 3.5"" 18 To 7200 RPM 256 Mo Serial ATA 6 Gb/s 550 To/an pour NAS 512e (bulk)"
Seagate SkyHawk 6 To (ST6000VX001),162.95,"Western Digital WD Purple 4 To - Disque Dur 3.5"" 4 To 256 Mo 5400 RPM Serial ATA 6Gb/s - WD43PURZ"
Western Digital WD Red Pro 10 To SATA 6Gb/s,324.95,"WD_Black 3.5"" Gaming Hard Drive 4 To SATA 6Gb/s - Disque Dur 3.5"" 4 To 256 Mo Serial ATA 6Gb/s 7200 RPM - WD4005FZBX"
Western Digital WD Blue 8 To,203.95,"Toshiba N300 10 To - Disque dur 3.5"" 10 To 7200 RPM 256 Mo Serial ATA III pour NAS"
Western Digital WD Blue Mobile 1 To,51.50,"Western Digital WD Blue Mobile 2 To - Disque dur 2.5"" 2 To 7 mm 5400 RPM 128 Mo Serial ATA III 6 Gb/s (bulk)"
Seagate SkyHawk AI 18 To (ST18000VE002),366.95,"Western Digital WD Gold 4 To (WD4003FRYZ) - Disque dur 3.5"" 4 To 7200 RPM 256 Mo Serial ATA 6 Gb/s 512e pour Centres de données (bulk)"
Western Digital WD Red Pro 16 To,387.95,"WD_Black 3.5"" Gaming Hard Drive 10 To SATA 6Gb/s - Disque dur 3.5"" 10 To 7200 RPM 256 Mo Serial ATA 6Gb/s - WD101FZBX"
Western Digital Ultrastar DC HC560 20 To (0F38755),475.95,"Western Digital Ultrastar DC HA210 2 To (1W10002) - Disque dur serveur 3.5"" 2 To 7200 RPM 128 Mo SATA 6Gb/s 512n (bulk)"
Western Digital WD Blue 1 To SATA 6Gb/s 64 Mo,42.95,"Western Digital WD Black Mobile 1 To - Disque dur 2.5"" 1 To 7200 RPM 64 Mo Serial ATA III 6Gb/s (bulk)"
Toshiba X300 14 To,321.95,"Toshiba X300 16 To - Disque dur 3.5"" 16 To 7200 RPM 512 Mo Serial ATA 6 Gb/s"
Western Digital WD Gold 20 To (WD201KRYZ),593.95,"Seagate Exos 7E8 3.5 HDD 2 To (ST2000NM000A) - Disque dur serveur 3.5"" 2 To 7200 RPM 256 Mo SATA 6 Gb/s 512n (bulk)"
