designation,price,description
Fractal Design Pop Air RGB TG (Noir),111.95,Boîtier Mini Tour Noir avec fenêtre en verre trempé et rétroéclairage RGB
Xigmatek DUKE Noir,54.95,Boîtier Moyen Tour avec fenêtre en verre trempé
Antec VSK-4000B-U3/U2,51.50,Boîtier Moyen Tour
NZXT H5 Flow Blanc,103.95,Boîtier moyen tour compact avec fenêtre latérale en verre trempé
Antec P101 Silent,117.95,Boîtier Moyen Tour avec isolant phonique
Antec NX100 Gris,49.25,Boîtier Moyen Tour avec fenêtre
Aerocool Streak,42.95,Boîtier Moyen Tour avec avec fenêtre en acrylique et rétroéclairage RGB en façade
Fractal Design Core 2500,72.95,Boîtier Moyen Tour Noir
Fractal Design Pop XL Air RGB TG (Noir),134.95,Boîtier Moyen Tour Noir avec fenêtre en verre trempé et rétroéclairage RGB
Lian Li PC-O11DX,144.95,Boitier moyen-tour en aluminium et verre trempé avec USB 3.1 Type C (coloris noir)
Corsair iCUE 7000X RGB Tempered Glass (Blanc),315.95,Boîtier Grand Tour avec panneaux en verre trempé et 4 ventilateurs LED ARGB
ASUS Prime AP201 - Noir,93.95,Boîtier Mini Tour avec panneaux et façade MESH
Phanteks NV7 Tempered Glass (Blanc),204.95,Boîtier grand tour avec fenêtre latérale et façade en verre trempé
Lian Li LANCOOL III Noir,151.95,Boitier Moyen-Tour avec panneaux en verre trempé et 4 ventilateurs 140 mm
Mars Gaming MC-ART Noir,58.95,Boîtier moyen tour avec fenêtre latérale et façade en verre trempé personnalisables et éclairage LED ARGB
be quiet! Silent Base 601 (Noir),141.95,Boîtier moyen tour
Phanteks Eclipse P400A RGB (Blanc),101.95,Boîtier moyen tour avec fenêtre latérale en verre trempé et ventilateurs LED RGB
Corsair iCUE 5000X RGB Tempered Glass (Noir),204.95,Boîtier Moyen Tour avec panneau en verre trempé et ventilateurs LED RGB
BitFenix Nova MESH SE TG ARGB (Noir),76.95,"Boîtier moyen tour avec fenêtre en verre trempé, façade mesh et 4 ventilateurs ARGB"
Antec P20CE,107.95,Boîtier Moyen Tour E-ATX avec 3 ventilateurs PWM 120 mm
Zalman R2 Noir,45.75,Boîtier Moyen Tour avec fenêtre latérale en verre trempé et ventilateur 120mm RGB
Cooler Master MasterBox NR200P MAX - Noir,314.95,"Boîtier Mini Tour avec panneau en verre trempé, watercooling AIO et alimentation 100% modulaire 850W 80PLUS Gold"
Fractal Design Pop XL Silent Solid (Noir),117.95,Boîtier Moyen Tour silencieux Noir
Fractal Design Define C Noir,111.95,Boîtier Moyen Tour Noir
Fractal Design Meshify 2 Lite RGB TG (Noir),180.95,Boîtier Moyen Tour Noir avec fenêtre en verre trempé et rétroéclairage RGB
Mars Gaming MCB Noir,103.95,Boîtier Moyen Tour Custom Premium avec fenêtre en verre trempé
Cooler Master Elite 300,50.95,Boîtier Mini Tour
Fractal Design Define 7 XL Solid Noir,263.95,Boîtier Grand Tour avec panneaux insonorisés en acier et trois ventilateurs 140 mm
Corsair 4000D AIRFLOW Tempered Glass (Blanc),92.95,Boîtier Moyen Tour avec panneau en verre trempé et façade avant MESH
MSI MPG VELOX 100R,168.95,Boîtier Moyen Tour Gaming avec panneaux en verre trempé et ventilateurs ARGB
MSI MPG GUNGNIR 111R,134.95,Boîtier Moyen Tour gaming avec fenêtre en verre trempé et 4 ventilateurs ARGB
NZXT H7 Flow Blanc,154.95,Boîtier moyen tour avec fenêtre latérale en verre trempé
Xigmatek Aquarius Pro (Noir),177.95,Boîtier Moyen Tour avec fenêtres en verre trempé et rétroéclairage ARGB avec télécommande fournie
NZXT H5 Elite Noir,143.95,Boîtier moyen tour compact avec fenêtre latérale en verre trempé
Fractal Design North Chalk White,160.95,Boîtier Moyen Tour avec panneau latéral mesh et façade en chêne
